frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
45820,-12943,11,16685,11,16684.6417341042,11.0183507266004
45840,-11837,-7,16685,11,16685.2583047957,10.7704996220869
45860,24077,-1,16687,11,16686.5999246817,10.6546003121891
45880,-10814,9,16685,10,16684.6180982433,10.249571256277
45900,-13882,-10,16685,10,16685.4621203074,10.1049304371987
45920,23841,-2,16686,10,16686.388330518,9.76691241513919
45940,-8539,10,16684,10,16684.4840218375,9.52158834077855
45960,-15766,-10,16686,9,16685.7264717011,9.14815395055882
45980,23316,0,16686,9,16686.144875236,9.03464198844509
46000,-6151,10,16684,9,16684.3998115685,8.72114382460093
46020,-17461,-11,16686,8,16686.054164842,8.3615651336562
46040,22499,-4,16686,8,16685.8560307965,8.16076862380315
46060,-3689,8,16684,8,16684.3626366373,7.82645628421638
46080,-18958,5,16686,7,16686.1823200213,7.49884431200068
46100,21412,-8,16686,7,16685.706965169,7.28686411784075
46120,-1160,8,16685,7,16684.5032880513,7.01007227361102
46140,-20248,4,16686,7,16686.3910306332,6.8535531956971
46160,20070,0,16686,7,16685.5293846479,6.55844368686276
46180,1407,-2,16684,6,16684.4999276848,6.19081350672107
46200,-21287,-3,16686,6,16686.3460661203,6.09084465996917
46220,18492,-10,16685,6,16685.1754225963,5.87387788486022
46240,3968,0,16685,6,16684.7274182335,5.66455278050483
46260,-22115,-5,16687,5,16686.55688521,5.42099686692863
46280,16678,-4,16685,5,16684.8150756282,5.2515343739949
46300,6500,5,16685,5,16684.8205303322,5.16741216059838
46320,-22705,-5,16687,5,16686.550690051,5.08552345664878
46340,14674,-1,16685,5,16684.8247587874,5.06057061999929
46360,8970,15,16685,5,16685.0435339333,5.05180680085106
46380,-23020,-3,16686,5,16686.461642013,4.99980468368515
46400,12502,-4,16685,5,16684.6107710678,4.99863262552871
46420,11348,7,16685,5,16685.2467021899,5.00136700063093
46440,-23099,7,16686,5,16686.2379299055,5.17572081332639
46460,10212,12,16684,5,16684.3699549153,5.38221717498932
46480,13594,3,16686,6,16685.6543998057,5.55731851368086
46500,-22924,-8,16686,6,16686.1261115075,5.64365396512977
46520,7807,0,16684,6,16684.3219655079,5.86558004777661
46540,15690,-2,16686,6,16685.7715306338,5.97763981303449
46560,-22493,-7,16686,6,16685.9762342481,6.21401751460961
46580,5312,6,16684,6,16684.2817732239,6.45004087923092
